,Average Cell Thickness,Average TBM Thickness,Contrast Eosinophilic,Contrast Luminal Space,Contrast Nuclei,Correlation Eosinophilic,Correlation Luminal Space,Correlation Nuclei,Energy Nuclei,Eosinophilic Area,Homogeneity Eosinophilic,Homogeneity Luminal Space,Homogeneity Nuclei,Luminal Fraction,Luminal Space Area,Major Axis Length,Max Distance Transform By Object Area Nuclei,Max Distance Transform Luminal Space,Max Distance Transform Nuclei,Mean Aspect Ratio Nuclei,Mean Blue Eosinophilic,Mean Blue Luminal Space,Mean Distance Transform By Eosinophilic Area,Mean Distance Transform By Luminal Space Area,Mean Distance Transform By Object Area Eosinophilic,Mean Distance Transform By Object Area Luminal Space,Mean Distance Transform By Object Area Nuclei,Mean Green Eosinophilic,Mean Green Luminal Space,Mean Nuclear Area,Mean Red Eosinophilic,Mean Red Luminal Space,Nuclei Area By Object Area,Nuclei Number,Radius (pixel),Standard Deviation Aspect Ratio Nuclei,Standard Deviation Blue Luminal Space,Standard Deviation Blue Nuclei,Standard Deviation Green Eosinophilic,Standard Deviation Green Luminal Space,Standard Deviation Green Nuclei,Standard Deviation Red Eosinophilic,Standard Deviation Red Luminal Space,Standard Deviation Red Nuclei,Sum Distance Transform By Luminal Space Area,Sum Distance Transform By Object Area Eosinophilic,Sum Distance Transform By Object Area Luminal Space,Sum Distance Transform By Object Area Nuclei,Sum Distance Transform Eosinophilic,Sum Distance Transform Luminal Space,Sum Distance Transform Nuclei,Total Object Area,Total Object Aspect Ratio
Mean Red Eosinophilic,-0.1827,-0.1466,0.0611,0.6078,0.6586,-0.3344,-0.2477,-0.5778,-0.2709,-0.2934,0.4106,-0.4441,-0.5381,0.1339,0.3974,0.1634,-0.4761,0.1035,-0.6012,0.3883,0.6414,0.0381,0.2391,-0.4188,-0.3767,-0.1337,-0.4001,0.7779,0.0406,-0.6083,1.0,0.3116,-0.5355,0.5893,0.1404,0.3172,-0.1783,0.3094,-0.4826,-0.2569,0.5843,-0.6477,-0.4415,-0.365,-0.1137,-0.4073,0.187,-0.7152,-0.3215,0.2272,-0.1541,0.1732,0.0234
Mean Red Luminal Space,-0.4017,0.2536,0.015,-0.0311,0.0798,0.3125,0.1265,-0.1061,-0.1125,0.1239,-0.1005,0.2772,-0.0415,0.4894,-0.0658,-0.0183,-0.1531,0.1668,-0.3589,0.4235,-0.1707,0.8645,0.0634,0.0376,0.0422,0.166,-0.0919,-0.0885,0.887,-0.0411,0.3116,1.0,-0.0425,0.0843,-0.0071,0.3459,-0.5299,0.2206,0.2279,-0.5145,-0.0253,0.0253,-0.7501,-0.2484,0.2798,0.1251,0.1304,-0.245,0.1256,0.1094,-0.0834,0.0278,-0.0533
Nuclei Area By Object Area,0.3502,0.5328,0.2681,-0.8297,-0.7944,0.5035,0.4308,0.8884,0.4362,0.5128,-0.5534,0.6913,0.685,-0.092,-0.26,0.1055,0.3829,0.1042,0.6493,-0.0754,-0.3604,0.1018,-0.6078,0.485,0.4827,0.1621,0.364,-0.5939,0.0373,0.8595,-0.5355,-0.0425,1.0,-0.6217,0.0228,0.0679,-0.1169,-0.2128,0.6043,0.0564,-0.4846,0.6609,0.0931,0.3051,0.3636,0.5147,-0.0734,0.7625,0.4707,0.0884,0.4538,0.1328,0.1375
Nuclei Number,-0.0201,-0.1953,-0.2513,0.5458,0.6817,-0.2048,-0.3314,-0.6694,-0.1295,-0.1028,0.4,-0.4365,-0.3941,0.0028,0.6846,0.5857,-0.7199,0.1773,-0.3462,0.033,0.318,-0.0861,0.4105,-0.2738,-0.4175,-0.5515,-0.5596,0.5149,-0.0578,-0.6817,0.5893,0.0843,-0.6217,1.0,0.6233,0.0058,-0.1507,-0.0052,-0.5208,-0.3044,0.3135,-0.6277,-0.3249,-0.4016,-0.1452,-0.3144,0.145,-0.6327,-0.121,0.3904,0.227,0.6041,0.0975
Radius (pixel),0.3366,0.2457,-0.1121,-0.0571,0.1142,0.1269,0.083,-0.0167,0.0812,0.3041,0.0464,0.0116,0.038,-0.0321,0.6613,0.7662,-0.7484,0.4803,0.3329,0.0257,0.0465,-0.0269,-0.0384,-0.0509,-0.3282,-0.6391,-0.644,0.0826,-0.0282,0.0204,0.1404,-0.0071,0.0228,0.6233,1.0,0.1389,-0.2215,-0.1448,-0.1216,-0.2577,0.0073,-0.1691,-0.2126,-0.0563,0.3063,0.0056,0.2419,0.0147,0.2166,0.6317,0.7706,0.8919,-0.0765
Standard Deviation Aspect Ratio Nuclei,-0.1409,0.1284,-0.0674,-0.0247,0.1279,0.0316,0.2974,0.0748,0.1459,-0.0789,0.1754,0.0092,0.0378,0.3891,0.2256,0.1964,-0.2543,0.3749,-0.023,0.9001,0.1197,0.2765,0.0046,-0.1711,-0.2457,0.0957,-0.2686,0.1644,0.3219,0.1507,0.3172,0.3459,0.0679,0.0058,0.1389,1.0,-0.3168,0.1961,-0.1041,-0.274,0.2813,-0.2055,-0.3657,0.0332,0.3831,-0.1453,0.3524,-0.0749,-0.1059,0.3306,0.1262,0.1667,0.1212
Standard Deviation Blue Luminal Space,0.1176,-0.1946,0.2781,0.1197,-0.1983,-0.2318,-0.2807,-0.0508,-0.0516,-0.0174,-0.133,-0.0613,-0.0465,-0.332,-0.2913,-0.2668,0.2224,-0.3558,0.1204,-0.3898,-0.0295,-0.6104,-0.1808,-0.0897,0.0385,-0.1016,0.1164,-0.0313,-0.5057,-0.1292,-0.1783,-0.5299,-0.1169,-0.1507,-0.2215,-0.3168,1.0,0.1114,0.0767,0.938,-0.0005,0.1551,0.8343,0.1145,-0.3862,0.0298,-0.3113,0.1426,-0.0427,-0.3768,-0.2249,-0.3057,-0.1012
Standard Deviation Blue Nuclei,-0.5544,-0.2463,0.0691,0.3128,0.1468,-0.4767,0.2764,-0.1573,-0.0632,-0.3027,0.3571,-0.2848,-0.2879,0.5269,0.1478,-0.1084,0.0602,0.2544,-0.1466,0.2119,0.3351,0.2335,0.1399,-0.4166,-0.3374,0.3745,0.0233,0.4015,0.3021,-0.0871,0.3094,0.2206,-0.2128,-0.0052,-0.1448,0.1961,0.1114,1.0,-0.1579,0.1219,0.7076,-0.1576,0.0741,0.4967,0.2006,-0.455,0.3737,-0.0918,-0.3917,0.168,-0.1236,-0.082,-0.0032
Standard Deviation Green Eosinophilic,0.3861,0.7497,0.5017,-0.769,-0.8871,0.7468,0.0109,0.5724,0.2858,0.7909,-0.9129,0.919,0.6654,-0.3471,-0.6733,-0.1045,0.3927,-0.3684,0.3559,-0.2067,-0.5363,0.2279,-0.7482,0.6786,0.7368,-0.009,0.4048,-0.8212,0.138,0.575,-0.4826,0.2279,0.6043,-0.5208,-0.1216,-0.1041,0.0767,-0.1579,1.0,0.1815,-0.7036,0.9309,0.0523,0.0802,-0.0319,0.8459,-0.5835,0.5723,0.7503,-0.3855,0.1932,-0.0726,0.0239
Standard Deviation Green Luminal Space,0.136,-0.1414,0.4309,-0.0051,-0.3567,-0.2311,-0.1531,0.0834,-0.016,0.0456,-0.2301,0.0652,0.0234,-0.294,-0.369,-0.3009,0.3071,-0.3119,0.2149,-0.3638,0.0672,-0.4743,-0.3653,-0.0578,0.0943,-0.0007,0.1811,-0.0651,-0.4523,0.0208,-0.2569,-0.5145,0.0564,-0.3044,-0.2577,-0.274,0.938,0.1219,0.1815,1.0,-0.0111,0.3039,0.8936,0.3055,-0.2872,0.0797,-0.297,0.272,-0.0114,-0.3786,-0.1948,-0.3348,-0.1042
Standard Deviation Green Nuclei,-0.5084,-0.5738,-0.1468,0.6917,0.6401,-0.7866,0.1215,-0.4623,-0.2785,-0.6636,0.7578,-0.7411,-0.6394,0.4875,0.4938,-0.0284,-0.2274,0.3462,-0.3296,0.3418,0.6962,0.0006,0.4469,-0.6988,-0.6683,0.2229,-0.2655,0.8413,0.0355,-0.437,0.5843,-0.0253,-0.4846,0.3135,0.0073,0.2813,-0.0005,0.7076,-0.7036,-0.0111,1.0,-0.68,0.0384,0.3213,0.0932,-0.8035,0.5489,-0.4407,-0.7135,0.3131,-0.2097,-0.01,-0.0816
Standard Deviation Red Eosinophilic,0.3342,0.6282,0.4869,-0.7717,-0.9447,0.5778,0.1633,0.6458,0.3291,0.6789,-0.8216,0.8313,0.6697,-0.3038,-0.6313,-0.1318,0.4919,-0.2806,0.4871,-0.3109,-0.4566,0.1581,-0.7634,0.6014,0.6606,0.0976,0.4673,-0.7915,0.05,0.6602,-0.6477,0.0253,0.6609,-0.6277,-0.1691,-0.2055,0.1551,-0.1576,0.9309,0.3039,-0.68,1.0,0.2723,0.3147,0.052,0.7133,-0.4744,0.691,0.6166,-0.3422,0.2023,-0.1151,0.0455
Standard Deviation Red Luminal Space,0.128,-0.2542,0.229,-0.0073,-0.3266,-0.3481,-0.0401,0.1561,0.0552,-0.0756,-0.0724,-0.0847,0.0548,-0.2819,-0.2238,-0.2429,0.359,-0.2279,0.3766,-0.4455,0.0813,-0.5744,-0.2314,-0.0994,0.0077,0.0346,0.2209,-0.056,-0.5724,0.1053,-0.4415,-0.7501,0.0931,-0.3249,-0.2126,-0.3657,0.8343,0.0741,0.0523,0.8936,0.0384,0.2723,1.0,0.4997,-0.2396,-0.0535,-0.1808,0.3799,-0.1229,-0.284,-0.1013,-0.2811,-0.0654
Standard Deviation Red Nuclei,-0.1928,-0.1295,0.1582,-0.1511,-0.3596,-0.3631,0.5243,0.3491,0.1631,-0.101,0.0794,-0.0143,0.0964,0.2795,0.0183,-0.0843,0.2854,0.2591,0.4919,-0.0437,0.2324,0.1281,-0.2227,-0.2147,-0.1887,0.3407,0.1556,0.0209,0.0405,0.4097,-0.365,-0.2484,0.3051,-0.4016,-0.0563,0.0332,0.1145,0.4967,0.0802,0.3055,0.3213,0.3147,0.4997,1.0,0.3123,-0.2254,0.2772,0.4998,-0.2136,0.1245,0.1526,-0.0566,-0.0479
Sum Distance Transform By Luminal Space Area,-0.2978,0.1296,-0.1408,-0.2974,-0.1107,-0.0267,0.814,0.3221,0.1168,-0.0798,0.2123,0.0988,0.0666,0.6942,0.3808,0.2531,-0.1879,0.9107,0.2467,0.383,0.0115,0.4454,-0.0444,-0.1217,-0.2818,0.3881,-0.1877,0.0034,0.5215,0.4693,-0.1137,0.2798,0.3636,-0.1452,0.3063,0.3831,-0.3862,0.2006,-0.0319,-0.2872,0.0932,0.052,-0.2396,0.3123,1.0,-0.262,0.7974,0.2066,-0.1837,0.7227,0.3747,0.3229,-0.0041
Sum Distance Transform By Object Area Eosinophilic,0.665,0.7355,0.3312,-0.7512,-0.7221,0.8801,-0.3097,0.4869,0.2818,0.865,-0.9298,0.8859,0.6667,-0.5969,-0.6228,0.0168,0.2403,-0.5321,0.3257,-0.2297,-0.5943,0.0446,-0.6029,0.813,0.7971,-0.2962,0.2841,-0.8154,-0.0604,0.4278,-0.4073,0.1251,0.5147,-0.3144,0.0056,-0.1453,0.0298,-0.455,0.8459,0.0797,-0.8035,0.7133,-0.0535,-0.2254,-0.262,1.0,-0.7386,0.4565,0.9263,-0.4385,0.2463,0.0334,0.0381
Sum Distance Transform By Object Area Luminal Space,-0.5735,-0.3742,-0.4487,0.2385,0.4232,-0.5252,0.6706,-0.0669,-0.0701,-0.5864,0.7428,-0.4909,-0.335,0.8277,0.6864,0.2039,-0.2898,0.9257,-0.0117,0.4042,0.3069,0.2637,0.4432,-0.5164,-0.6519,0.3864,-0.3089,0.4829,0.3993,0.0441,0.187,0.1304,-0.0734,0.145,0.2419,0.3524,-0.3113,0.3737,-0.5835,-0.297,0.5489,-0.4744,-0.1808,0.2772,0.7974,-0.7386,1.0,-0.1386,-0.6337,0.792,0.143,0.2434,-0.0153
Sum Distance Transform By Object Area Nuclei,0.3236,0.3622,0.1247,-0.7321,-0.8066,0.3582,0.3876,0.9117,0.505,0.4472,-0.4679,0.5276,0.7529,-0.1798,-0.2843,0.0395,0.4685,-0.0138,0.9072,-0.2909,-0.4401,-0.0558,-0.4892,0.3706,0.3529,0.058,0.369,-0.6302,-0.077,0.8827,-0.7152,-0.245,0.7625,-0.6327,0.0147,-0.0749,0.1426,-0.0918,0.5723,0.272,-0.4407,0.691,0.3799,0.4998,0.2066,0.4565,-0.1386,1.0,0.4293,-0.0464,0.4724,0.0574,0.0631
Sum Distance Transform Eosinophilic,0.6652,0.7551,0.2644,-0.7083,-0.6344,0.8506,-0.2497,0.4536,0.3546,0.9494,-0.8291,0.8188,0.6611,-0.5448,-0.4308,0.2397,0.107,-0.3971,0.3635,-0.2079,-0.5371,0.0269,-0.5436,0.8041,0.7179,-0.3678,0.2164,-0.7216,-0.0622,0.4057,-0.3215,0.1256,0.4707,-0.121,0.2166,-0.1059,-0.0427,-0.3917,0.7503,-0.0114,-0.7135,0.6166,-0.1229,-0.2136,-0.1837,0.9263,-0.6337,0.4293,1.0,-0.2723,0.4651,0.2893,0.1215
Sum Distance Transform Luminal Space,-0.1993,-0.0435,-0.3404,0.0455,0.2757,-0.2113,0.4975,0.0488,0.1602,-0.1849,0.4731,-0.2399,-0.0671,0.5213,0.8679,0.6533,-0.4712,0.8852,0.1789,0.2687,0.2229,0.1717,0.2189,-0.2752,-0.4729,-0.0251,-0.3904,0.3341,0.2473,0.1275,0.2272,0.1094,0.0884,0.3904,0.6317,0.3306,-0.3768,0.168,-0.3855,-0.3786,0.3131,-0.3422,-0.284,0.1245,0.7227,-0.4385,0.792,-0.0464,-0.2723,1.0,0.6172,0.7296,0.173
Sum Distance Transform Nuclei,0.4156,0.452,-0.0524,-0.4581,-0.3035,0.3466,0.2709,0.4791,0.5224,0.5455,-0.1819,0.3112,0.5214,-0.1014,0.4822,0.8151,-0.2928,0.4015,0.6624,-0.0832,-0.1501,-0.0358,-0.2681,0.2625,0.0397,-0.4147,-0.173,-0.2232,-0.0612,0.4933,-0.1541,-0.0834,0.4538,0.227,0.7706,0.1262,-0.2249,-0.1236,0.1932,-0.1948,-0.2097,0.2023,-0.1013,0.1526,0.3747,0.2463,0.143,0.4724,0.4651,0.6172,1.0,0.8977,0.2782
Total Object Area,0.2887,0.3075,-0.1264,-0.1424,0.0585,0.1897,0.1285,0.0901,0.3483,0.3786,0.0395,0.0773,0.22,-0.0103,0.7121,0.9226,-0.5718,0.4758,0.3295,0.0224,0.0491,-0.0077,-0.0569,0.0844,-0.1585,-0.5184,-0.3941,0.0683,-0.0181,0.1087,0.1732,0.0278,0.1328,0.6041,0.8919,0.1667,-0.3057,-0.082,-0.0726,-0.3348,-0.01,-0.1151,-0.2811,-0.0566,0.3229,0.0334,0.2434,0.0574,0.2893,0.7296,0.8977,1.0,0.2814
Total Object Aspect Ratio,-0.0004,0.0716,-0.1273,-0.1637,-0.0599,0.1368,0.0687,0.1363,0.8132,0.132,0.031,0.1082,0.5066,-0.0329,0.1805,0.566,0.0834,0.0119,0.0673,-0.0472,-0.0064,-0.0663,-0.0103,0.2034,0.1738,-0.0621,0.2409,-0.0292,-0.0751,0.0705,0.0234,-0.0533,0.1375,0.0975,-0.0765,0.1212,-0.1012,-0.0032,0.0239,-0.1042,-0.0816,0.0455,-0.0654,-0.0479,-0.0041,0.0381,-0.0153,0.0631,0.1215,0.173,0.2782,0.2814,1.0
